vote_id,bioguide,member_name,party,state,chamber,congress,bill_number,bill_title,vote_date,true_label,predicted_label,reasoning,prompt_tokens,completion_tokens,n_tweets_raw,n_tweets_used,competitiveness,had_bill_summary,retrieval_method,mean_similarity,timestamp,proj,freshman,n_past_votes
house_117_2nd_507,B001297,Buck,R,CO,house,117,S 3875,Community Disaster Resilience Zones Act,2022-12-06,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.0164, ideal=(0.655, -0.432), midpoint=(0.399, -0.742) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.0163859999999999,veteran,25
house_110_1st_1033,C001069,Courtney,D,CT,house,110,H R 2262,Hardrock Mining and Reclamation Act,2007-11-01,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.4420, ideal=(-0.337, 0.041), midpoint=(0.020, 0.481) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.441991,freshman,25
house_112_1st_828,L000571,Lummis (R-WY),R,WY,house,112,H R 2940,To direct the Securities and Exchange Commission to eliminate the prohibition against general solicitation as a requirement for a certain exemption under Regulation D,2011-11-03,Yea,Yea,"DW-NOMINATE spatial rule: proj=-3.4037, ideal=(0.683, -0.312), midpoint=(-0.996, 0.086) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-3.4037490000000004,veteran,25
house_117_1st_181,M001208,McBath,D,GA,house,117,S J RES 15,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Office of the Comptroller of Currency relating to “National Banks and Federal Savings Associations as Lenders”",2021-06-24,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.5823, ideal=(-0.370, 0.294), midpoint=(-0.146, 0.989) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.5823020000000001,veteran,25
house_115_1st_559,L000397,Lofgren,D,CA,house,115,H R 2464,"To designate the facility of the United States Postal Service located at 25 New Chardon Street Lobby in Boston, Massachusetts, as the “John Fitzgerald Kennedy Post Office”",2017-10-10,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.0,veteran,25
house_113_2nd_97,N000015,Neal,D,MA,house,113,H R 4118,To amend the Internal Revenue Code of 1986 to delay the implementation of the penalty for failure to comply with the individual health insurance mandate,2014-03-05,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.3283, ideal=(-0.417, -0.104), midpoint=(-0.316, 0.887) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.328295,veteran,25
senate_114_2_74,C001071,Corker (R-TN),R,TN,senate,114,Making emergency supplemental appropriations for the fiscal year ending Septembe,Motion to Invoke Cloture on Cornyn Amdt. No. 3899,2016-05-17,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.2073, ideal=(0.395, -0.344), midpoint=(0.037, -0.084) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.207252,veteran,25
house_115_1st_158,L000565,Loebsack,D,IA,house,115,H R 720,Lawsuit Abuse Reduction Act,2017-03-10,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.9277, ideal=(-0.276, -0.027), midpoint=(-0.299, 0.803) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.927669,veteran,25
house_118_2nd_171,A000371,Aguilar,D,CA,house,118,H R 3195,Superior National Forest Restoration Act,2024-04-30,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.2260, ideal=(-0.328, 0.145), midpoint=(-0.073, 0.290) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.22599,veteran,25
house_113_1st_579,S001191,Sinema (I-AZ),I,AZ,house,113,H R 982,Furthering Asbestos Claim Transparency (FACT) Act of 2013,2013-11-13,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.1674, ideal=(-0.105, 0.076), midpoint=(-0.096, 0.488) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.167435,freshman,25
house_117_2nd_97,C001109,Cheney,R,WY,house,117,S 2126,"To designate the Federal Office Building located at 308 W. 21st Street in Cheyenne, Wyoming , as the “Louisa Swain Federal Office Building”",2022-03-30,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_118_1st_211,S001205,Scanlon,D,PA,house,118,H R 1163,Protecting Taxpayers and Victims of Unemployment Fraud Act,2023-05-11,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.0034, ideal=(-0.460, -0.213), midpoint=(-0.007, -0.835) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.0034439999999999,veteran,25
house_118_1st_335,A000376,Allred,D,TX,house,118,H J RES 74,"Relating to a national emergency declared by the President on May 16, 2012",2023-07-18,Nay,Nay,"DW-NOMINATE spatial rule: proj=+2.4659, ideal=(-0.422, 0.723), midpoint=(0.204, -0.683) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,2.4658520000000004,veteran,25
senate_110_1_170,I000024,Inhofe (R-OK),R,OK,senate,110,A bill to provide for the conservation and development of water and related reso,H.R. 1495 As Amended,2007-05-16,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.3948, ideal=(0.552, 0.045), midpoint=(0.622, -0.250) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.3948149999999999,veteran,25
house_116_1st_577,Y000033,Young,R,AK,house,116,H R 2513,Corporate Transparency Act,2019-10-22,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.2247, ideal=(0.283, 0.022), midpoint=(-0.087, 0.791) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.224655,veteran,25
house_114_1st_18,H001038,Higgins (NY),D,NY,house,114,H R 33,Protecting Volunteer Firefighters and Emergency Responders Act,2015-01-12,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.0,veteran,25
house_116_1st_642,G000574,Gallego (D-AZ),D,AZ,house,116,H R 1309,Workplace Violence Prevention for Heath Care and Social Service Workers Act,2019-11-21,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.4889, ideal=(-0.357, 0.137), midpoint=(0.208, 0.978) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.488931,veteran,25
house_114_1st_47,R000577,Ryan (OH),D,OH,house,114,H R 469,Strengthening Child Welfare Response to Trafficking Act of 2015,2015-01-27,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_118_2nd_473,K000391,Krishnamoorthi,D,IL,house,118,H R 1449,CLEAN Act,2024-11-19,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.5778, ideal=(-0.350, -0.016), midpoint=(0.113, -0.962) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.5778329999999999,veteran,25
house_117_1st_365,P000607,Pocan,D,WI,house,117,H R 4679,"To designate the Federal building located at 1200 New Jersey Avenue Southeast in Washington, DC, as the “Norman Yoshio Mineta Federal Building”",2021-11-04,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.6775, ideal=(-0.521, -0.553), midpoint=(0.276, -0.837) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.6775419999999999,veteran,25
house_118_1st_500,R000610,Reschenthaler,R,PA,house,118,H R 4665,"Making appropriations for the Department of State, foreign operations, and related programs for the fiscal year ending September 30, 2024, and for other purposes",2023-09-28,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.3274, ideal=(0.447, 0.060), midpoint=(-0.134, 0.991) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.327418,veteran,25
house_119_2nd_7,F000454,Foster,D,IL,house,119,H R 6938,"Commerce, Justice, Science; Energy and Water Development; and Interior and Environment Appropriations Act, 2026",2026-01-08,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.3112, ideal=(-0.238, -0.217), midpoint=(0.670, -0.428) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.311235,veteran,25
house_110_1st_624,D000399,Doggett,D,TX,house,110,H R 2956,Responsible Redeployment from Iraq Act,2007-07-12,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.0668, ideal=(-0.403, -0.334), midpoint=(0.121, -0.969) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.0668389999999999,veteran,25
house_111_2nd_332,M000934,Moran (R-KS),R,KS,house,111,H R 5116,America COMPETES Reauthorization Act,2010-05-28,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.1384, ideal=(0.413, 0.222), midpoint=(0.110, 0.719) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.138438,veteran,25
senate_112_1_187,C001071,Corker (R-TN),R,TN,senate,112,In the nature of a substitute.,Motion to Invoke Cloture on the Inouye Amdt. No. 738,2011-10-21,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.1427, ideal=(0.395, -0.344), midpoint=(0.498, -0.005) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.142739,veteran,25
house_116_1st_583,K000009,Kaptur,D,OH,house,116,H R 4617,SHIELD Act,2019-10-23,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1673, ideal=(-0.341, 0.140), midpoint=(0.035, -0.074) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.1672639999999999,veteran,25
senate_119_1_654,H001076,Hassan (D-NH),D,NH,senate,119,A joint resolution providing for congressional disapproval under chapter 8 of ti,S. J. Res. 82,2025-12-18,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.3435, ideal=(-0.225, 0.009), midpoint=(0.196, 0.109) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.343482,veteran,25
house_114_1st_170,U000031,Upton,R,MI,house,114,H R 1560,Protecting Cyber Networks Act,2015-04-22,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.1054, ideal=(0.320, -0.355), midpoint=(-0.123, -0.218) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.105429,veteran,25
house_116_2nd_172,T000468,Titus,D,NV,house,116,H R 7327,Child Care for Economic Recovery Act,2020-07-29,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.8406, ideal=(-0.297, -0.161), midpoint=(0.205, 0.675) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.840626,veteran,25
senate_115_2_128,J000300,Jones (D-AL),D,AL,senate,115,To authorize appropriations for fiscal year 2019 for military activities of the ,H.R. 5515 As Amended,2018-06-18,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.6624, ideal=(-0.088, 0.187), midpoint=(-0.669, -0.061) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.6623749999999999,freshman,23
house_111_1st_901,C001047,Capito (R-WV),R,WV,house,111,H R 3791,Fire Grants Reauthorization Act of 2009,2009-11-18,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.5611, ideal=(0.285, 0.144), midpoint=(0.570, 0.502) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.5611009999999998,veteran,25
house_113_1st_23,M000312,McGovern,D,MA,house,113,H R 152,"Making supplemental appropriations for the fiscal year ending September 30, 2013, and for other purposes",2013-01-15,Yea,Yea,"DW-NOMINATE spatial rule: proj=-1.1714, ideal=(-0.538, -0.353), midpoint=(0.324, -0.344) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-1.1714210000000005,veteran,25
house_115_1st_99,C001110,Correa,D,CA,house,115,H J RES 43,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients",2017-02-16,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.6129, ideal=(-0.284, 0.188), midpoint=(-0.163, 0.582) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.612884,freshman,25
house_119_2nd_28,V000130,Vargas,D,CA,house,119,H R 7006,"Financial Services and General Government and National Security, Department of State, and Related Programs Appropriations Act, 2026",2026-01-14,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.6461, ideal=(-0.398, 0.015), midpoint=(0.523, -0.373) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.646118,veteran,25
senate_119_1_570,W000790,Warnock (D-GA),D,GA,senate,119,An original bill to authorize appropriations for fiscal year 2026 for military a,"S. 2296, as amended",2025-10-09,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.2488, ideal=(-0.434, 0.419), midpoint=(-0.483, 0.061) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.248794,veteran,25
house_112_1st_600,D000096,Davis (IL),D,IL,house,112,H R 2354,"Making appropriations for energy and water development and related agencies for the fiscal year ending September 30, 2012, and for other purposes",2011-07-15,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.6089, ideal=(-0.487, -0.267), midpoint=(-0.357, 0.934) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.608912,veteran,25
house_116_1st_687,R000575,Rogers (AL),R,AL,house,116,H R 722,Miracle Mountain Designation Act,2019-12-17,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_118_2nd_136,G000565,Gosar,R,AZ,house,118,H R 4639,Fourth Amendment Is Not For Sale Act,2024-04-17,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.5663, ideal=(0.703, -0.518), midpoint=(0.122, 0.050) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.5663260000000001,veteran,25
senate_117_2_64,T000250,Thune (R-SD),R,SD,senate,117,A bill making further continuing appropriations for the fiscal year ending Septe,H.R. 6617,2022-02-17,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.0601, ideal=(0.431, 0.234), midpoint=(0.501, -0.035) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.060079,veteran,25
house_115_2nd_335,J000289,Jordan,R,OH,house,115,H R 4989,Protecting Diplomats from Surveillance Through Consumer Devices Act,2018-07-17,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
senate_111_2_279,C000127,Cantwell (D-WA),D,WA,senate,111,A bill to amend the Small Business Act with respect to the Small Business Innova,Motion to Invoke Cloture on the Motion to Concur in the House Amendment to the Senate Amendment to H.R. 2965,2010-12-18,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.6088, ideal=(-0.309, -0.400), midpoint=(0.188, -0.028) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.608791,veteran,25
house_115_2nd_476,W000812,Wagner,R,MO,house,115,H R 7319,"To amend the Federal Assets Sale and Transfer Act of 2016 to provide flexibility with respect to the leaseback of certain Federal real property, and for other purposes",2018-12-21,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_115_1st_61,M001184,Massie,R,KY,house,115,H R 582,Kari’s Law Act,2017-01-23,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_118_1st_282,R000606,Raskin,D,MD,house,118,H R 3799,CHOICE Arrangement Act,2023-06-21,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.3444, ideal=(-0.498, -0.228), midpoint=(0.026, 0.049) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.344437,veteran,25
house_117_1st_49,H001081,Hayes,D,CT,house,117,H R 1319,American Rescue Plan Act,2021-02-27,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.2355, ideal=(-0.340, -0.055), midpoint=(-0.067, 0.198) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.235462,veteran,25
house_115_1st_99,M001201,Mitchell,I,MI,house,115,H J RES 43,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the final rule submitted by Secretary of Health and Human Services relating to compliance with title X requirements by project recipients in selecting subrecipients",2017-02-16,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.0997, ideal=(0.422, 0.311), midpoint=(-0.163, 0.582) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.099664,freshman,25
house_110_2nd_583,N000179,Napolitano,D,CA,house,110,H R 3667,Missisquoi and Trout Rivers Wild and Scenic River Study Act of 2008,2008-09-10,Yea,Yea,"DW-NOMINATE spatial rule: proj=-2.0061, ideal=(-0.448, -0.247), midpoint=(0.226, 0.605) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-2.006082,veteran,25
house_118_2nd_208,S001209,Spanberger,D,VA,house,118,H R 6960,Emergency Medical Services for Children Reauthorization Act,2024-05-15,Yea,Yea,"DW-NOMINATE spatial rule: proj=-2.7187, ideal=(-0.196, 0.300), midpoint=(0.610, -0.792) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-2.718716,veteran,25
house_117_1st_183,G000546,Graves,R,MO,house,117,S J RES 13,"Providing for congressional disapproval under chapter 8 of title 5, United States Code, of the rule submitted by the Equal Employment Opportunity Commission relating to “Update of Commission’s Conciliation Procedures”",2021-06-24,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.2918, ideal=(0.449, 0.162), midpoint=(0.029, 0.059) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.291759,veteran,25
house_110_2nd_614,G000552,Gohmert,R,TX,house,110,H R 3036,No Child Left Inside Act of 2008,2008-09-18,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.1538, ideal=(0.644, -0.406), midpoint=(0.372, 0.051) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.153821,veteran,25
senate_117_2_356,G000359,Graham (R-SC),R,SC,senate,117,A bill to repeal the Defense of Marriage Act and ensure respect for State regula,Motion to Invoke Cloture: Motion to Proceed to H.R. 8404,2022-11-16,Nay,Yea,"DW-NOMINATE spatial rule: proj=-1.1778, ideal=(0.367, -0.265), midpoint=(0.111, 0.826) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-1.177755,veteran,25
house_118_2nd_279,L000583,Loudermilk,R,GA,house,118,H R 8070,Servicemember Quality of Life Improvement and National Defense Authorization Act for Fiscal Year 2025,2024-06-14,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.2366, ideal=(0.676, 0.040), midpoint=(-0.237, 0.669) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.2365989999999999,veteran,25
house_111_1st_195,M001177,McClintock,R,CA,house,111,H R 1219,Lake Hodges Surface Water Improvement and Reclamation Act of 2009,2009-04-21,Nay,Yea,"DW-NOMINATE spatial rule: proj=-0.5212, ideal=(0.671, -0.358), midpoint=(0.546, 0.245) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.521182,freshman,25
house_117_2nd_155,E000297,Espaillat,D,NY,house,117,S 1872,United States Army Rangers Veterans of World War II Congressional Gold Medal Act,2022-05-11,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.0,veteran,25
senate_117_2_97,C001070,Casey (D-PA),D,PA,senate,117,A bill to provide for a coordinated Federal research initiative to ensure contin,Motion to Invoke Cloture Re: Motion to Proceed to H.R. 4521,2022-03-21,Yea,Nay,"DW-NOMINATE spatial rule: proj=+0.1417, ideal=(-0.313, 0.166), midpoint=(0.706, -0.709) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.1417130000000001,veteran,25
house_112_2nd_138,W000791,Walden,R,OR,house,112,H R 3309,To amend the Communications Act of 1934 to provide for greater transparency and efficiency in the procedures followed by the Federal Communications Commission,2012-03-27,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.2910, ideal=(0.333, -0.011), midpoint=(-0.134, 0.085) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.291021,veteran,25
senate_116_1_398,S001203,Smith (D-MN),D,MN,senate,116,An original bill to authorize appropriations for fiscal year 2020 for military a,Motion to Invoke Cloture: Conference Report to Accompany S. 1790,2019-12-16,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.1715, ideal=(-0.410, -0.118), midpoint=(-0.776, -0.199) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.17154,veteran,25
senate_119_1_239,M000133,Markey (D-MA),D,MA,senate,119,A joint resolution providing for congressional disapproval under chapter 8 of ti,H.J. Res. 60,2025-05-08,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.2572, ideal=(-0.518, -0.470), midpoint=(-0.004, -0.252) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.257152,veteran,25
house_114_2nd_42,W000813,Walorski,R,IN,house,114,H R 1644,Supporting Transparent Regulatory and Environmental Actions in Mining (STREAM) Act,2016-01-12,Yea,Yea,"DW-NOMINATE spatial rule: proj=-0.7585, ideal=(0.436, 0.315), midpoint=(0.132, -0.078) -> Yea",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,-0.7585029999999999,veteran,25
house_113_1st_572,C001062,Conaway,R,TX,house,113,H R 2922,To extend the authority of the Supreme Court Police to protect court officials away from the Supreme Court grounds,2013-11-12,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_114_1st_568,C001078,Connolly,D,VA,house,114,H R 3762,Restoring Americans’ Healthcare Freedom Reconciliation Act of 2015,2015-10-23,Nay,Nay,"DW-NOMINATE spatial rule: proj=+0.1775, ideal=(-0.309, -0.047), midpoint=(0.025, 0.146) -> Nay",0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.177543,veteran,25
house_116_1st_71,B001286,Bustos,D,IL,house,116,H R 507,Put Trafficking Victims First Act of 2019,2019-02-07,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_111_1st_115,B001243,Blackburn (R-TN),R,TN,house,111,H R 842,R. Jess Brown United States Courthouse,2009-03-10,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
house_118_2nd_499,M001157,McCaul,R,TX,house,118,H R 9716,Increasing Baseline Updates Act,2024-12-11,Yea,ERROR,DW-NOMINATE spatial rule: no cutting line estimated for this roll call,0,0,0,0,0.0,,,,2026-08-21T09:39:00.392026+00:00,0.0,veteran,25
